,simuli_name_1,Participant,avg_max,avg_min,avg_mean,avg_std,avg_kurtosis,avg_skewness,avg_auc,corr_max,corr_min,corr_mean,corr_std,corr_kurtosis,corr_skewness,corr_auc,diff_max,diff_min,diff_mean,diff_std,diff_kurtosis,diff_skewness,diff_auc
0,HN_1,4FoNM,4.410011292,2.558547974,3.678394005,0.444330903,-0.241503585,-0.737666988,2196.161507,4.255061506,3.380511212,3.675427032,0.172747763,,,,0.154949786,-0.821963238,0.002966973,0.271583141,,,
1,HN_2_H,4FoNM,4.255695343,3.339614868,3.724283426,0.162511882,0.814073894,0.632110801,1675.723108,4.116920545,3.491906543,3.615471221,0.136458386,8.427686315,2.951066579,1626.71998,0.138774798,-0.152291674,0.108812205,0.026053496,-7.613612421,-2.318955778,49.00312878
2,HN_2_L,4FoNM,3.88192749,2.761985779,3.340714318,0.283920961,-0.729521422,-0.364151633,698.2140884,3.617525178,3.506368862,3.575788772,0.03052015,,,,0.264402312,-0.744383083,-0.235074453,0.253400812,,,
3,HN_3_H,4FoNM,4.101993561,3.399440765,3.726375107,0.174535637,-0.97862423,0.199043188,446.9778614,3.896779444,3.612565437,3.75293328,0.112340865,-1.6490319,0.34920893,450.3315909,0.205214116,-0.213124671,-0.026558173,0.062194772,0.67040767,-0.150165741,-3.353729475
4,HN_3_L,4FoNM,3.617263794,2.835781097,3.307185163,0.181775746,-0.017054926,-1.008286915,939.3774986,3.883840513,3.077523312,3.492335178,0.131120947,,,,-0.266576719,-0.241742215,-0.185150015,0.050654798,,,
5,HN_4,4FoNM,3.423156738,2.830966949,3.179849697,0.105147985,1.517560005,-1.038818136,670.93923,3.058860849,2.911925918,2.990879677,0.033952557,-0.617030537,0.57628421,631.0562686,0.36429589,-0.080958969,0.188970019,0.071195428,2.134590543,-1.615102346,39.88296136
6,HN_5,4FoNM,3.727714539,3.298130035,3.470081874,0.082869023,-0.200186896,0.446734002,1040.986212,3.71969392,3.090924911,3.23453927,0.103171057,1.670267964,1.129948961,970.3374119,0.008020618,0.207205125,0.235542604,-0.020302034,-1.87045486,-0.683214959,70.64879992
7,HN_6,4FoNM,2.973701477,2.546409607,2.726382728,0.09944725,-0.963178859,0.323431404,817.8666821,2.836760909,2.62631806,2.701975056,0.044807321,-0.501279675,0.639396058,810.5660198,0.136940568,-0.079908453,0.024407671,0.054639928,-0.461899183,-0.315964655,7.3006623
8,HN_7,4FoNM,3.501148224,2.864582062,3.117657412,0.130359038,-0.257367833,0.471404554,723.2916374,3.286594855,2.929441596,3.147707453,0.085878144,,,,0.214553368,-0.064859534,-0.030050042,0.044480895,,,
9,HN_9,4FoNM,3.623119354,2.525787354,3.091218962,0.225466771,-0.486954871,-0.180606196,3035.560097,3.549954633,2.798170629,3.033993893,0.153542621,-0.699398171,0.385555108,2979.364252,0.073164721,-0.272383276,0.057225068,0.071924151,0.2124433,-0.566161304,56.19584436
10,HP_1_L,4FoNM,2.874526978,2.31085968,2.55422409,0.13694556,-0.902596717,0.135271844,536.3989665,2.830224215,2.447780384,2.680631709,0.088658029,-1.298731906,0.029819197,562.9214453,0.044302763,-0.136920704,-0.126407619,0.048287531,0.396135189,0.105452647,-26.5224788
11,HP_1_H,4FoNM,3.343536377,2.586273193,2.902874368,0.266903046,-1.617162181,0.433727174,174.1308651,2.913027557,2.60172062,2.765504443,0.048322702,4.885252371,-0.820252688,165.853599,0.43050882,-0.015447427,0.137369925,0.218580343,-6.502414552,1.253979862,8.277266078
12,HP_2,4FoNM,3.096824646,2.418682098,2.761626782,0.124390827,-0.203061076,0.391103425,1214.977444,2.915950637,2.596533066,2.738195605,0.095035602,-1.279446805,0.388419913,1204.802654,0.180874009,-0.177850967,0.023431177,0.029355224,1.076385729,0.002683513,10.17478998
13,HP_3_L,4FoNM,3.384441376,2.251987457,2.837754268,0.243211876,-0.475872833,-0.077493008,2491.6628,2.999029453,2.677636996,2.885871697,0.061828126,,,,0.385411922,-0.425649539,-0.048117428,0.18138375,,,
14,HP_3_H,4FoNM,3.501663208,2.724658966,3.133200664,0.198578987,-1.085136713,-0.177190186,470.1428795,2.997434747,2.732329245,2.859476801,0.060672138,-0.98966134,-0.09379304,428.9002789,0.504228461,-0.007670279,0.273723863,0.13790685,-0.095475372,-0.083397145,41.2426006
15,HP_4,4FoNM,3.083786011,2.783672333,2.930987155,0.060174826,-0.666603468,0.022430466,615.5704365,2.865809337,2.769398332,2.823604345,0.033525113,-1.516374949,-0.003484043,592.9614939,0.217976674,0.014274001,0.10738281,0.026649713,0.849771481,0.025914509,22.60894253
16,HP_5,4FoNM,3.387523651,3.026470184,3.253907639,0.070158142,1.192035351,-1.115242374,488.1514606,3.269212238,3.121388096,3.223495595,0.027238989,4.95783959,-1.437947196,483.5105139,0.118311413,-0.094917911,0.030412044,0.042919152,-3.765804239,0.322704822,4.640946703
17,HP_6,4FoNM,3.363265991,2.784809113,3.062366591,0.147039186,-0.940527631,0.22014003,551.1452236,3.266583309,2.959081325,3.06317135,0.051355405,1.997873015,0.954680362,551.2388878,0.096682682,-0.174272212,-0.000804759,0.095683781,-2.938400646,-0.734540332,-0.093664158
18,HP_7_H,4FoNM,3.301582336,2.819313049,3.085447076,0.104108982,0.089562762,-0.90180788,447.3302002,3.199942889,2.87888112,3.046252035,0.068043188,0.171910048,0.312352656,441.6509351,0.101639447,-0.059568071,0.039195041,0.036065794,-0.082347286,-1.214160536,5.679265101
19,HP_7_L,4FoNM,3.205303192,2.597682953,2.891426214,0.198688427,-1.480269382,-0.174913341,257.0864296,3.148907737,2.871754717,2.979007028,0.077068836,,,,0.056395455,-0.274071764,-0.087580814,0.121619591,,,
20,HP_9,4FoNM,2.955699921,2.124404907,2.645899724,0.140421251,0.016388462,-0.408139668,2868.261522,2.759800861,2.534440738,2.639002746,0.043890157,0.64024693,-0.63822804,2860.665036,0.19589906,-0.410035831,0.006896978,0.096531094,-0.623858468,0.230088372,7.596486637
21,LN_1,4FoNM,3.865135193,2.876502991,3.478153456,0.198822246,0.038430197,-0.799150552,1513.151308,3.665311192,3.087878202,3.595199017,0.09935167,,,,0.199824,-0.211375211,-0.11704556,0.099470576,,,
22,LN_2,4FoNM,3.336494446,2.584793091,2.894723141,0.192326121,-0.602048716,0.702698189,1467.233232,3.620285323,2.690642905,3.048926917,0.245899613,,,,-0.283790877,-0.105849814,-0.154203776,-0.053573492,,,
23,LN_3,4FoNM,3.199058533,2.569625854,2.874461352,0.133304284,-0.48693389,-0.42711842,845.2582512,3.081805166,2.806895183,2.894134329,0.05203494,,,,0.117253367,-0.237269328,-0.019672978,0.081269344,,,
24,LN_4,4FoNM,3.001941681,2.431354523,2.749940475,0.123260673,0.190807535,-0.316973728,816.8321247,3.159613802,2.669266119,2.890126038,0.096284251,,,,-0.157672121,-0.237911597,-0.140185563,0.026976423,,,
25,LN_5,4FoNM,2.854137421,2.081806183,2.595251685,0.197016107,0.252144486,-0.990923281,474.8928604,2.7661994,2.449824143,2.655760378,0.06372508,2.761633616,-1.36922319,485.9860575,0.087938021,-0.36801796,-0.060508694,0.133291027,-2.509489129,0.378299909,-11.09319712
