participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
7yqP3,HN_7,,,,,,,,,,
7yqP3,HP_2,,,,,,,,,,
7yqP3,HN_6,,,,,,,,,,
7yqP3,HP_9,,,,,,,,,,
7yqP3,HP_4,,,,,,,,,,
7yqP3,HP_7_H,,,,,,,,,,
7yqP3,HP_7_L,,,,,,,,,,
7yqP3,LP_1,,,,,,,,,,
7yqP3,LP_6,,,,,,,,,,
7yqP3,LN_6,,,,,,,,,,
7yqP3,LN_9,,,,,,,,,,
7yqP3,LN_1,,,,,,,,,,
7yqP3,LN_5,,,,,,,,,,
7yqP3,LN_4,,,,,,,,,,
7yqP3,HN_5,,,,,,,,,,
7yqP3,HP_6,,,,,,,,,,
7yqP3,HN_3_H,,,,,,,,,,
7yqP3,HN_3_L,,,,,,,,,,
7yqP3,LN_7_N,,,,,,,,,,
7yqP3,LN_7_P,,,,,,,,,,
7yqP3,HN_2_H,,,,,,,,,,
7yqP3,HN_2_L,,,,,,,,,,
7yqP3,LP_9,,,,,,,,,,
7yqP3,HP_3_L,,,,,,,,,,
7yqP3,HP_3_H,,,,,,,,,,
7yqP3,LP_5,,,,,,,,,,
7yqP3,HN_4,,,,,,,,,,
7yqP3,LP_4,,,,,,,,,,
7yqP3,HN_1,,,,,,,,,,
7yqP3,HN_9,,,,,,,,,,
7yqP3,LP_3,,,,,,,,,,
7yqP3,HP_1_L,,,,,,,,,,
7yqP3,HP_1_H,,,,,,,,,,
7yqP3,LN_3,,,,,,,,,,
7yqP3,LP_7,,,,,,,,,,
7yqP3,LP_2,,,,,,,,,,
7yqP3,HP_5,,,,,,,,,,
7yqP3,LN_2,,,,,,,,,,
F5tXL,LP_6,0.853294479,-0.457291089,0.124457677,0.083432823,23.90900707,12.95924473,0.896267441,-0.001083003,0.002971442,-0.616771632
F5tXL,LN_1,0.746244828,-0.657759831,0.05918931,0.060427263,38.32115329,14.43255239,0.842945883,-0.009535962,0.006534444,-0.8057891
F5tXL,LP_5,0.650597827,0.473178671,0.091131931,0.577094656,7.288116312,0.482864545,0.99999636,0.843045203,0.018596946,-0.829285742
F5tXL,HP_3_L,0.78995152,0.249290449,0.183906206,0.5228095,-1.289730741,-1.892047022,0.999972177,0.846373523,0.018962693,-0.36218643
F5tXL,HP_3_H,0.535259328,0.843289863,0.040762919,0.026454611,-1.565577239,-1.532850623,0.598351733,0.872151237,0.489236364,0.801233551
F5tXL,HN_2_H,0.990168284,-0.136635634,0.01290853,0.017020748,2316.492853,19.62708683,0.999998422,-0.001776384,0.29751883,-0.150273799
F5tXL,HN_2_L,0.968691184,0.109093612,0.061713121,0.196827314,112.6121465,-1.718335518,0.999999995,0.405002846,0.056584975,-0.137553008
F5tXL,HP_4,0.633745782,0.675313114,0.129707119,0.345100033,2.322704575,3.492501011,0.999988937,0.836352291,0.024991759,-0.293841016
F5tXL,HP_2,0.640596002,0.65838325,0.093121916,0.356386026,11.01523468,5.067752674,0.99988614,0.818482073,0.005868309,-0.498252531
F5tXL,LN_9,0.70230459,0.665932184,0.091878002,0.232836311,4.596086004,7.913020814,0.999995812,0.813169316,0.096731029,-0.173102122
