participant,video,FER_Mean_Valence,FER_Mean_Arousal,FER_Std_Valence,FER_Std_Arousal,FER_Kurtosis_Valence,FER_Kurtosis_Arousal,FER_Max_Valence,FER_Max_Arousal,FER_Min_Valence,FER_Min_Arousal
7yqP3,HN_7,,,,,,,,,,
7yqP3,HP_2,,,,,,,,,,
7yqP3,HN_6,,,,,,,,,,
7yqP3,HP_9,,,,,,,,,,
7yqP3,HP_4,,,,,,,,,,
7yqP3,HP_7_H,,,,,,,,,,
7yqP3,HP_7_L,,,,,,,,,,
7yqP3,LP_1,,,,,,,,,,
7yqP3,LP_6,,,,,,,,,,
7yqP3,LN_6,,,,,,,,,,
7yqP3,LN_9,,,,,,,,,,
7yqP3,LN_1,,,,,,,,,,
7yqP3,LN_5,,,,,,,,,,
7yqP3,LN_4,,,,,,,,,,
7yqP3,HN_5,,,,,,,,,,
7yqP3,HP_6,,,,,,,,,,
7yqP3,HN_3_H,,,,,,,,,,
7yqP3,HN_3_L,,,,,,,,,,
7yqP3,LN_7_N,,,,,,,,,,
7yqP3,LN_7_P,,,,,,,,,,
7yqP3,HN_2_H,,,,,,,,,,
7yqP3,HN_2_L,,,,,,,,,,
7yqP3,LP_9,,,,,,,,,,
7yqP3,HP_3_L,,,,,,,,,,
7yqP3,HP_3_H,,,,,,,,,,
7yqP3,LP_5,,,,,,,,,,
7yqP3,HN_4,,,,,,,,,,
7yqP3,LP_4,,,,,,,,,,
7yqP3,HN_1,,,,,,,,,,
7yqP3,HN_9,,,,,,,,,,
7yqP3,LP_3,,,,,,,,,,
7yqP3,HP_1_L,,,,,,,,,,
7yqP3,HP_1_H,,,,,,,,,,
7yqP3,LN_3,,,,,,,,,,
7yqP3,LP_7,,,,,,,,,,
7yqP3,LP_2,,,,,,,,,,
7yqP3,HP_5,,,,,,,,,,
7yqP3,LN_2,,,,,,,,,,
F5tXL,LP_6,0.832395108,-0.506169737,0.122893838,0.092082883,23.98044486,8.159091914,0.889913005,-0.003217742,0.004381132,-0.704140852
F5tXL,LN_1,0.739081542,-0.658172709,0.076967041,0.070853127,36.78077099,23.04592535,0.842945883,-0.009535962,0.006534444,-0.8057891
F5tXL,LP_5,0.70552979,0.707964436,0.022945046,0.022094789,6.216836524,3.567123794,0.746660076,0.817671503,0.575685081,0.665205781
F5tXL,HP_3_L,0.78995152,0.249290449,0.183906206,0.5228095,-1.289730741,-1.892047022,0.999972177,0.846373523,0.018962693,-0.36218643
F5tXL,HP_3_H,0.523722492,0.850900531,0.034548443,0.022158208,-0.772845948,-0.663648074,0.594973762,0.872151237,0.489236364,0.803745123
F5tXL,HN_2_H,0.989664354,-0.140673372,0.014087375,0.006509482,1972.619264,23.26305925,0.993175278,-0.037003319,0.29751883,-0.150273799
F5tXL,HN_2_L,0.968691184,0.109093612,0.061713121,0.196827314,112.6121465,-1.718335518,0.999999995,0.405002846,0.056584975,-0.137553008
F5tXL,HP_4,0.545457986,0.837679836,0.022947962,0.015555471,0.673787023,0.87736116,0.607850536,0.853712712,0.520744281,0.794051463
F5tXL,HP_2,0.652842202,0.756289522,0.031380354,0.028966348,1.465465884,1.995425592,0.743790628,0.783448673,0.621456497,0.668412673
F5tXL,LN_9,0.890820224,0.131289396,0.15381867,0.399712761,0.447717383,-1.229030725,0.999995812,0.81261812,0.096731029,-0.173102122
