participant,fer_nrmse,fer_r2,fer_corr,fer_p,pupil_nrmse,pupil_r2,pupil_corr,pupil_p,gsr_nrmse,gsr_r2,gsr_corr,gsr_p
F5tXL,0.32224942336590107,0.03576935904047618,0.21195748301102496,0.20141863785860925,0.31310971459855585,0.08968915849650771,0.3458159837301025,0.03344957289553138,0.2789378950455684,0.2775435563636597,0.5842672898512664,0.00011745031007367229
Gax8,0.3284998645308394,-0.0019977616004052123,0.01960177158233431,0.9070121482534443,0.3001874749532256,0.16327740435207372,0.4225030571716811,0.008229620753791406,0.2750042333874034,0.29777688581516315,0.5546938443549105,0.0003015430594133019
Hx7dO,0.3349175482077933,-0.041531544611305815,0.05753627071029909,0.7315128536292076,0.30689796526136603,0.1254500093865174,0.3543459340041227,0.02905493116853846,0.34268989281901646,-0.09043356878201103,0.3975793635550497,0.013442795775765511
wohkw,0.3351647718782546,-0.04307022431998009,-0.1453267795592397,0.38399271256595474,0.2978480306823222,0.17626734294860957,0.44749033615565714,0.004847557995097255,0.25757975901382285,0.3839438702172462,0.6265290871695474,2.5758919858985853e-05
PPjCX,0.3859865358429534,-0.3833782768837102,0.24576139860432614,0.1369395341761264,0.29738700823122255,0.1788157257387789,0.45873948776513673,0.0037704984237925004,0.2656482959880885,0.34474444827220874,0.5946132448349151,8.261558598643828e-05
tMGNS,0.32151487699219156,0.04016059709547781,0.2905931313684791,0.07674163783179543,0.28700824547349996,0.23513431773940563,0.4864455132868664,0.0019570496374556206,0.2629357619665811,0.3580580675135342,0.622361078908768,3.021321850701334e-05
5KB3V,0.30912213401155586,0.11272782589827335,0.376453195551838,0.01983145856272931,0.2957246599440396,0.18797062858841707,0.4604083334208189,0.003629936026810603,0.27348439327734003,0.30551678830872553,0.6059874422728444,5.5325073742419726e-05
EJOiBs,0.3298330556015927,-0.01014825192017188,0.06503159463928583,0.6980891204738232,0.32379256583033456,0.02651221410203164,0.28113389732538424,0.08730096148076333,0.30107898755585744,0.15829936606872685,0.5369077999401862,0.0005101984498052661
gf5X,0.3290972370131958,-0.005646943444187036,0.023485765832182415,0.8886924761255908,0.28654533516924385,0.23759848407212847,0.5166234621129214,0.0008979967215000772,0.2623496318497481,0.3609159424056123,0.607162825188267,5.3032901566712904e-05
gjGzb,0.3313161421879313,-0.019251695331314433,-0.15337705231189838,0.3579116344155363,0.28213797079290287,0.26087255651038965,0.575919007947656,0.00015467768420690756,0.2695082204357537,0.32556471488424277,0.5799442679177985,0.00013557468239256367
LR96S,0.33561475523344114,-0.045872493024594174,-0.08201166222163955,0.6244936158115822,0.2924319587039711,0.20595280701736607,0.4594833301045904,0.003707272297052723,0.29428095203766613,0.19587983473459247,0.5532992782939925,0.00031457286763933895
CoQmx,0.32383777360342786,0.026240171819869818,0.23462178406979864,0.1562282155666281,0.31304010150139927,0.0900934415112381,0.3049917678366817,0.0626131601036031,0.2618591003888518,0.36330390385108213,0.6043075276320958,5.8757161333799795e-05
G5XzoP,0.3289715018871462,-0.004877613038783535,0.023699200898699327,0.887687325962543,0.2907678282908802,0.21496445470204295,0.5105468628880196,0.001056592517000647,0.2671367744517336,0.3373808677282115,0.5993024070066623,7.015698531857406e-05
XhsN0o,0.3272529452798914,0.005595186327432389,0.19974600453916969,0.22922904761035584,0.28592174179291663,0.24091492616975518,0.497937890619912,0.0014668312054813618,0.36151887799650284,-0.21355105201039404,0.5345115056502959,0.0005464522757798937
9FGka,0.37779775890094736,-0.32530369385563174,-0.22328934990371763,0.17780209033756497,0.38195382315530624,-0.3546227861157054,0.25696949451857265,0.11936751820284039,0.3427181206463913,-0.09061329844911992,0.5240156354539502,0.0007337765341133063
hMHEK1,0.32815229412515795,0.00012104740293306104,0.04476227678066191,0.7895851743348586,0.3184335501901944,0.05846997374015439,0.2930240918498985,0.07419603050204253,0.29429592186221276,0.1957982291838124,0.4729957371550479,0.002708854973764357
4FoNM,0.32755073542051716,0.0037818502947635224,0.23454930479456057,0.15635985712642161,0.2816063875706739,0.263653384420538,0.5234841730800994,0.0007446227935966622,0.28325986797649166,0.254980930997903,0.5240416984063777,0.0007332482637563964
8vDRG,0.3284120878918395,-0.0014632823311888643,0.027534010835520973,0.869658628552338,0.2960631391663332,0.18611050584583633,0.4514506658537724,0.004441374224253637,0.29270401887041225,0.20447444718695318,0.47897971730851374,0.0023478477726198953
NMy2s,0.31461377629185944,0.08092188563271718,0.3106984375596291,0.05761944425972304,0.32351315361892313,0.028191172204212522,0.4213641683877501,0.00842287652899768,0.25708304915682356,0.38631736014595275,0.6527101154440822,8.948925383396213e-06
WQzBV,0.32657964902940373,0.009680385684675885,0.2117003148287853,0.2019788387921753,0.29641659729338843,0.18416528766539686,0.5625991353814057,0.00023640568198429531,0.2791317372002551,0.27653823801028876,0.5487244940005604,0.00036093200086440285
Cr1sTi,0.31979260593524894,0.05041663484300063,0.2506425468217069,0.12906585448006255,0.2917708983370709,0.20953943749629111,0.5116287806047186,0.0010266609410475253,0.5087005273566088,-1.40281667783568,0.4679830210551066,0.0030477235271907086
EXAMPLE,0.3385910238699297,-0.06450340663192788,-0.05611942754928611,0.7378883666658581,0.2975783761028489,0.1777594076296496,0.42411252790563625,0.00796299632096082,0.3918566031237137,-0.4257734165821112,0.5025492287887817,0.0013028800303910768
Gftw5,0.32465317277882777,0.021330564471018665,0.18553949415545345,0.26474204380127797,0.2888880952982868,0.2250815284063158,0.4788830261470232,0.0023533279261229146,0.2785925193490687,0.27933136062422415,0.5529502004590604,0.0003179123142479642
6GSd4,0.3198781730899173,0.0499075356066192,0.28485163119993584,0.08302452284296968,0.316569131451723,0.06946269422777462,0.3190587437959501,0.05088157477992348,0.25222941647036967,0.4092712201417311,0.6553461032755843,8.000259498313569e-06
D9Hh9,0.33221111094967887,-0.02476668964028761,-0.09000195792324675,0.5910131011083332,0.2999036209867172,0.16485841049062222,0.4103109714046905,0.010509194327984495,3.8080489790783836,-133.64856964068002,0.16139770465119568,0.3330178000764346
F8mDn,0.3266300482912158,0.009376130449160303,0.24914057753701774,0.1314518909128903,0.3021244012781076,0.1524445445570396,0.47898284172261124,0.0023476708772616093,0.3276238511234093,0.0033388261261070307,0.5207896402369736,0.0008018363926186612
