,Participant,Intercept,Coef_Pupil_Size,Coef_FER_Mean_Arousal,R2,RMSE,NRMSE,Correlation,P_value
0,F5tXL,-0.07978369475545004,0.7686975974198793,0.12520638519010738,0.09680039128960594,0.27636841368715115,0.32816732947318744,0.3342598511164853,0.04025722187024411
1,Gax8,0.022318315793098988,0.16952323675839645,0.15829811592974521,0.07281047391624917,0.33278217458926096,0.33249689225570556,0.4758894290123626,0.002528636302549472
2,Hx7dO,-0.06258215908774824,0.7618192674569377,0.1091518202584956,0.17207740642962477,0.21510188742542818,0.3141944035988574,0.44543793023324385,0.005070437422565507
3,wohkw,-0.06653615603980072,0.7437886522358987,0.15763860227972618,0.18858388371807822,0.27140825487158815,0.3110464605749579,0.46142371456686915,0.003546663931853608
4,G4dLl,-0.01194858766892928,0.2503317786983148,0.08811536429133442,0.14943182204216343,0.1650843751801506,0.3173960966393408,0.4032889821271624,0.013322086819874741
5,GFGzP,-0.07832436127859795,0.758298313995817,0.1254733470416714,0.22972903685848667,0.22674600301179326,0.3037096805892852,0.5201385853049834,0.0016152646864258165
6,PPjCX,-0.07758282883298011,0.757041767035275,0.12803375549563603,0.19236414195161777,0.22602054580029576,0.3103211474252493,0.45489425632473796,0.004112520974777567
7,tMGNS,0.021786883538877796,0.1696233764973372,0.1566719239094042,0.06250597065763563,0.2482585242268105,0.33433960495655485,0.43503787932027416,0.00634131777109981
8,5KB3V,0.018039711363255946,0.17229256195766435,0.141988247181884,0.18702996595994703,0.22649517810783992,0.3113442772711638,0.4959779122127729,0.0015418540404516128
9,EJOiBs,-0.045039396998009865,0.7102215027134997,0.20984556200512647,0.1299158571803749,0.19933664158107225,0.32209515908878567,0.4194836046558697,0.008750490871752697
10,gf5X,-0.06773507917158897,0.7490482397179,0.15645163053856959,0.11821935609984524,0.332043257828475,0.3242527609928605,0.35634410356860824,0.02809744874481479
11,gjGzb,0.018371029351780754,0.15963881218284917,0.14078628578350058,0.044376938676517486,0.3408766259727775,0.3375567552845539,0.46352176214831275,0.003379855380278423
12,LR96S,0.015107388017406763,0.16941385061286293,0.13496923838518982,0.08797896973519903,0.22509406825681458,0.3297656393854193,0.40105956383940566,0.012579315650847503
13,CoQmx,-0.08130124725119665,0.7657069499222208,0.12269071481801117,0.19247601607409937,0.24235984024982943,0.3102996350428198,0.4720753171700022,0.002768485716622789
14,G5XzoP,-0.06449183851167074,0.7280284187050894,0.15821465884702074,0.2320870993199039,0.2763882927361444,0.3025931632683465,0.5096031401978919,0.0010833290914386657
15,XhsN0o,0.012605183427822271,0.1722101056229036,0.12890408501078543,0.062056208895303944,0.1670626614062913,0.3344196120712053,0.4258468895592161,0.007684005086686538
16,9FGka,-0.07932691088166519,0.7806505764445412,0.13329717348418169,-0.4672242900304462,0.1892044161354829,0.4182653361529836,0.26497409788955734,0.10789389032467145
17,hMHEK1,-0.08027046983693403,0.7606113535556793,0.12363464710422184,0.19352123837848811,0.25567362185371434,0.31009874195559967,0.44678128444092347,0.004923578045177468
18,Xd3foP9,-0.07772837569388631,0.7605077223849859,0.1264095427045925,0.1993933474370504,0.2729216982872591,0.3121413185375462,0.49325720074025775,0.0019220111736376947
