,Participant,Intercept,Coef_Pupil_Size,Coef_FER_Mean_Arousal,R2,RMSE,NRMSE,Correlation,P_value
0,F5tXL,-0.17568645845687558,0.8575784219098209,0.05418877339604319,0.16412699556719945,0.26586837739717073,0.31569930238325006,0.43603597025690505,0.006208486851858216
1,Gax8,-0.09840914747557904,0.548246918491511,0.08361226034572433,0.33787738291809677,0.28121922581996667,0.2809781465702094,0.7109368644166841,5.681323425183287e-07
2,Hx7dO,-0.17117167437202718,0.8398748544881818,0.053411627063472786,0.4808275967904039,0.17033549369720793,0.24880515691646377,0.6980676390790248,1.1043711624662389e-06
3,wohkw,-0.16389365243849613,0.8424077295198814,0.08253182500169866,0.41377509523308853,0.23069244410779646,0.26438425115354897,0.691994743894633,1.4935078008554909e-06
4,G4dLl,-0.1134443060164768,0.5396742070689046,0.029529279132551635,0.4477878513651834,0.13301615304995168,0.25574078541330125,0.680792160623087,3.538880801958579e-06
5,GFGzP,-0.17600824972124246,0.856788066527739,0.054959281012929226,0.5392695319707539,0.17536436357327803,0.23488773402904684,0.7344743599902064,7.621817168262323e-07
6,PPjCX,-0.17444492936460726,0.8521580436063254,0.05613800160437121,0.447017524137553,0.18702333937507232,0.2567788563852689,0.7079576319795873,6.647146192178348e-07
7,tMGNS,-0.10293843317798893,0.5641192859987001,0.08035889804867329,0.4884446277104383,0.18338602588278505,0.24697323743126245,0.7587380689073132,3.3964987848319014e-08
8,5KB3V,-0.10631770138976583,0.5637894923457892,0.06771271456677252,0.36643736258383985,0.19994772668748553,0.27485168107149455,0.6970537167858426,1.1620474280435798e-06
9,EJOiBs,-0.16425343186458446,0.8943318135779801,0.12065347249546822,0.27599469332976956,0.1818349597814045,0.2938153258435136,0.5976562131291644,7.432236562897131e-05
10,gf5X,-0.1640335474868697,0.840440898983117,0.08222339100925531,0.3772170921993824,0.27905045054946337,0.2725032865859493,0.6390513826222008,1.5726908407869893e-05
11,gjGzb,-0.10453066922106997,0.5547945026418569,0.06878988053715022,0.24709496583528912,0.30256870896713894,0.29962192731202514,0.5842497639951604,0.00011751914278499087
12,LR96S,-0.10788792070175007,0.5632337307891631,0.06390332498369761,0.3819123867044707,0.18530478937688702,0.27147384568273547,0.6795457698956994,2.7122230723266615e-06
13,CoQmx,-0.17664614547941426,0.854684350278668,0.050847262679637795,0.2768959050267419,0.22934187196989175,0.29363239016388404,0.5272094199553577,0.0006715041630666142
14,G5XzoP,-0.1402734473431098,0.8665142368038499,0.07557036868598024,0.307824702974419,0.2624047602645212,0.28728382696337657,0.7121820974421539,5.317401362172157e-07
15,XhsN0o,-0.10731826047440093,0.5533721620488071,0.05969332313412749,0.46569993425918443,0.12609085890927124,0.25240383319175125,0.7539613862576903,4.629591228085505e-08
16,9FGka,-0.18022241119818247,0.8771959122262152,0.05729574566220448,-0.5420448153236499,0.19396863630941155,0.42879737442807436,0.46143513758862453,0.0035457366649950936
17,hMHEK1,-0.17586743311127737,0.8538236181476542,0.05123555568953295,0.3344173297895433,0.2322685769258363,0.281711476445269,0.5907492015559531,9.434901228100568e-05
18,Xd3foP9,-0.17370481222209694,0.8450730393688197,0.052387468999556645,0.4744804889483417,0.221117385292313,0.25289257918977004,0.7186368149874347,5.467552223593265e-07
19,4FoNM,-0.10712089693029907,0.5633831952410152,0.06760723452562596,0.38824808659741894,0.19342551207594494,0.27007908905143385,0.6904338440002711,1.6121068120888886e-06
20,8vDRG,-0.20038926728423112,0.8373971796505483,0.0526360122271991,0.23503208686856336,0.24550819798706275,0.3020122793564127,0.5158267146226819,0.0009175096062673748
