,Participant,R2_Pupil_size,RMSE_Pupil_size,NRMSE_Pupil_size,Corr_Pupil_size,P_value_Pupil_size,R2_FER_Mean_Arousal,RMSE_FER_Mean_Arousal,NRMSE_FER_Mean_Arousal,Corr_FER_Mean_Arousal,P_value_FER_Mean_Arousal
0,4FoNM,0.46201046641742605,0.4531512765408683,0.4425193076551457,0.6797135179010536,1.967100630061849e-242,0.021224768773964287,0.6519066510490956,0.6366114249531707,-0.14568722927547653,6.185877531112746e-10
1,5KB3V,0.4532315771144597,0.2936420325742926,0.28675251661021556,0.6732247597307008,3.70155371578536e-236,0.16606192196901148,3.3541096391124445,3.275414529623705,0.40750695941175225,2.0710356683431043e-72
2,6GSd4,0.365310582042085,0.21520703736890964,0.21015778639303068,0.6044092835505466,2.3937063015147214e-178,0.03539242815138588,1.4112734983801687,1.3781617833728523,0.1881287541854931,1.0867489148385416e-15
3,7yqP3,0.28073758597789433,0.4831378436196826,0.47180232105403824,0.5298467570702818,7.85129745124277e-130,,,,,
4,8vDRG,0.250946461834776,0.4122188511568503,0.40254725090656907,0.5009455677364318,4.3766247635496566e-114,0.013410616176570578,0.9700167270079543,0.9472579084983723,0.11580421484803738,9.243113829334372e-07
5,9FGka,0.21293236893523027,0.48943068452501887,0.4779475174702779,0.4614459545117179,7.143599046024048e-95,6.78703226608679e-05,2.392314324034722,2.336185139864341,0.008238344655388984,0.7278975589624239
6,CoQmx,0.268911675969859,0.3274025537998925,0.3197209385307526,0.5185669445402963,1.666566895930163e-123,0.02620064686624135,0.6151716429608334,0.6007383044579272,0.161866138726545,5.931891642051509e-12
7,Cr1sTi,0.4718565798001475,0.3933793965744628,0.38414981316339897,0.686918175476634,1.360430121586918e-249,0.14523519850295386,3.483460216782263,3.4017302458944036,0.38109736092362767,7.960131377969253e-63
8,D9Hh9,0.2645458086278628,0.4258990759463954,0.41590650622776704,0.514340168203751,3.403122116259363e-121,0.0371546562258227,0.8788106105888926,0.8581916968796618,0.19275543111887358,2.077379781073226e-16
9,EJOiBs,0.3383196077024262,0.4209252387009599,0.41104936661858177,0.5816524801824765,3.38295760334299e-162,0.020892587913452387,1.015241064228298,0.9914211789820746,0.14454268543739085,8.435610167140646e-10
10,EXAMPLE,0.4771885663133558,0.23553461552843388,0.2300084329191191,0.6907883657918363,1.5862780687195738e-253,0.07039418617418725,0.6865671651579579,0.6704587238585328,0.26531902716199474,3.7309276496821105e-30
11,F5tXL,0.16637892280242939,0.26694859396308696,0.2606853673276723,0.4078957254034776,1.473978922001037e-72,0.09328973023716725,2.1580491118069483,2.1074163271312916,0.3054336756763529,7.093584334792966e-40
12,F8mDn,0.5654707196648541,0.3082325290433826,0.3010006865483714,0.751977871792019,0.0,0.002752639842974469,0.6714058980210584,0.6556531748422973,0.05246560628616047,0.02660747040483373
13,Fjil72,0.44130471219378353,0.6498493949095857,0.6346024367638963,0.6643076939143364,8.582477863512594e-228,0.0805125510621072,2.354218536318412,2.2989831667539806,0.2837473366608174,2.0108255766728215e-34
14,Fyt7d,,,,,,0.01790172420080427,0.6675366173027588,0.6518746763292717,0.1337973250883752,1.3788065438178318e-08
15,G4Egk,0.48487475869487917,0.2511122581893435,0.2452205883340301,0.6963294900367778,2.879746524143623e-259,0.0013658545620669482,0.630057637985131,0.6152750398770451,-0.03695746963831496,0.11845228700771422
16,G4dLl,0.45984433729832774,0.45877090493149536,0.4480070866672285,0.678118232536427,1.390186244028356e-234,0.011297657335630262,2.044716769167387,1.9967430213367499,0.10629043858988398,6.745579180019705e-06
17,G5XzoP,0.4915465469323034,0.8517542753237977,0.8317701653315419,0.7011038061031357,2.548118822713147e-264,0.0009163313163139675,0.9801726467144567,0.9571755470217129,0.03027096490556894,0.20100925752414003
18,GFGzP,0.5071032009991874,0.35835690939300374,0.34994903390441623,0.71211178967855,1.848544255552601e-247,0.1784532372596236,1.325118483910472,1.2940281632599873,0.42243725837054635,3.547459464825091e-70
