Participant,Video,NRMSE_pupil,NRMSE_gsr,NRMSE_fusion
4FoNM,HN_1,0.1596921272584899,0.044710380124571,0.0349635185327444
4FoNM,HN_2_L,0.0312882458306214,0.0090213995859928,0.009676538090139
4FoNM,HN_3_L,0.0584264798987362,0.0191989254136987,0.0451162451221677
4FoNM,HN_3_H,0.0875924987776306,0.0827642976527441,0.0529774335612458
4FoNM,HN_4,0.0095781207661943,0.0033070455151776,0.013937431837951
4FoNM,HN_5,0.3429223869683339,0.0820028001093049,0.0490734997472857
4FoNM,HN_6,0.347646171210186,0.0177752563424276,0.0231176920471351
4FoNM,HN_7,0.1232118306399443,0.0965512654632454,0.0445750056396788
4FoNM,HP_1_H,0.0523286449727276,0.0124864144236323,0.0213227497574072
4FoNM,HP_2,0.0806302121958728,0.020713002991758,0.043782031863259
4FoNM,HP_3_L,0.018618204583872,0.0084511144866129,0.0153058428873326
4FoNM,HP_4,0.1303263584313037,0.0162514925162856,0.0103629737385414
4FoNM,HP_5,0.0098076251294946,0.0030262437219417,0.0124189104572453
4FoNM,HP_7_L,0.0344419577592981,0.0109708494894953,0.0139101187189269
4FoNM,HP_7_H,0.067123363956066,0.0370541822498371,0.0123618919249642
4FoNM,LN_1,0.109367246469885,0.0222720215585782,0.0311907985389234
4FoNM,LN_2,0.0891728634287382,0.0267514909579485,0.0173208352099159
4FoNM,LN_3,0.2363070891251969,0.0422905950828991,0.057781520018048
4FoNM,LN_4,0.0457488258339427,0.0195843420129636,0.0172666979852623
4FoNM,LN_5,0.0984467040612941,0.003278649454486,0.0401998184920113
4FoNM,LN_6,0.0538496040864266,0.0007854474082649,0.0354997377334429
4FoNM,LP_1,0.0508665574828166,0.0391496983243691,0.0145517346148713
4FoNM,LP_3,0.1364117457105994,0.0076523737844907,0.0509224761432161
4FoNM,LP_4,0.0242406919744003,0.0094420928724988,0.0311922557454134
4FoNM,LP_5,0.0677900602764749,0.0109296680860341,0.03694122181296
4FoNM,LP_7,0.0374470588316654,0.015279858559688,0.0136258038067421
5KB3V,HN_1,0.5204114391916616,0.08459418650881,0.1781571620760023
5KB3V,HN_2_H,0.1827142890683212,0.0905229230415178,0.0905286351340835
5KB3V,HN_3_H,0.1603188523933458,0.1588290429407066,0.1114273545309116
5KB3V,HN_4,0.2503364731972864,0.0936531335246653,0.0604623836433618
5KB3V,HN_5,0.1339581849487423,0.1307868683520925,0.1231458491374403
5KB3V,HN_6,0.7116486975832301,0.0361357491541479,0.3645134573899621
5KB3V,HP_1_H,0.0688523538066198,0.0602070955585563,0.041068922450391
5KB3V,HP_1_L,0.0591182341710157,0.000759381380866,0.0447372944773579
5KB3V,HP_3_H,0.0850810005351353,0.0043041707329276,0.0657417763631711
5KB3V,HP_4,0.1209847063520664,0.0098758482568158,0.0503127931372459
5KB3V,HP_5,0.0658093437883111,0.0242673316909471,0.0235242731393446
5KB3V,HP_6,0.0655666214884734,0.0161032325202413,0.038218660676847
5KB3V,HP_7_L,0.0790104353694092,0.0247569168622074,0.0702365106779751
5KB3V,HP_7_H,0.0766501137126475,0.0194934059005407,0.0638726360316454
5KB3V,LN_2,0.1451265914792533,0.0947439086702527,0.0584658209122217
5KB3V,LN_3,0.2547457907693332,0.0031202078838291,0.1693994764729269
5KB3V,LN_4,0.05962844449621,0.0321727363364254,0.0243982938963045
5KB3V,LN_6,0.0254841355100794,0.0201990732431862,0.0310958214965336
5KB3V,LN_7_P,0.0733434663588138,0.0109578345364606,0.0323283982540907
5KB3V,LP_2,0.0624763436218902,0.0303460401508366,0.0777194210276124
5KB3V,LP_3,0.1407502948438164,0.051964117483203,0.1122509380741184
5KB3V,LP_4,0.3020533586143576,0.0316661412592205,0.0850047686769848
5KB3V,LP_5,0.1127149722909624,0.0880566004320233,0.1072907123853557
5KB3V,LP_6,0.0308694776870059,0.0131726142592558,0.0091016096445805
5KB3V,LP_7,0.1195887458626666,0.0781553241571836,0.0486234075704962
6GSd4,HN_3_L,0.0536582399891056,0.0330117223657721,0.0166074496547705
6GSd4,HN_7,0.116225513876779,0.0585090303065084,0.123286261026059
6GSd4,HP_5,0.1178191365543379,0.1133018934354074,0.1172203933633744
6GSd4,LN_4,0.0637926119782664,0.0444985644414247,0.0707341022693714
6GSd4,LN_5,0.0446514920891861,0.0260130239376977,0.0263821828562749
6GSd4,LN_6,0.0850721922442105,0.0307152853719023,0.0503080309694073
7yqP3,HN_2_H,0.0883508464772494,0.0726748758764989,0.1133922509708541
7yqP3,HN_3_H,0.2870427697077597,0.0575031173276402,0.0599321710232079
7yqP3,HN_4,0.1096889225428514,0.0351456525388037,0.1048459306777451
7yqP3,HN_5,0.2186116663734896,0.1325465084026253,0.1252374016092431
7yqP3,HN_6,0.2906965846084542,0.236270397390102,0.2017336912981341
7yqP3,HP_1_H,0.0683223839373289,0.0452842925862594,0.0826992443504282
7yqP3,HP_1_L,0.1044463661414457,0.0943719691987176,0.1006093527920164
7yqP3,HP_2,0.1204208951162735,0.0448368113874996,0.0708064721066138
7yqP3,HP_6,0.1581317048725658,0.077829966571887,0.1007037883603343
7yqP3,HP_7_L,0.1456695173728129,0.1053079608387099,0.0905704262169383
7yqP3,LN_1,0.0313907506209178,0.0205001022602487,0.0154004378196044
7yqP3,LN_2,0.0782220728737503,0.0482677959598589,0.0919163952514788
7yqP3,LN_4,0.144711823605998,0.0836959249286663,0.1292525231604054
7yqP3,LN_5,0.0631194488581693,0.0055577346599408,0.0620230496922628
7yqP3,LN_6,0.0946100267473825,0.0161728098282932,0.0077661811344761
7yqP3,LN_7_N,0.0593835772054002,0.0397087439929629,0.1033342176221787
7yqP3,LP_2,0.098361113955996,0.0905374332269829,0.0888854610429267
7yqP3,LP_6,0.1309503378467749,0.0740888434840609,0.1185859740790073
A5feTy,HN_2_L,0.0704546934331102,0.0164679522515099,0.0605630456075299
A5feTy,HN_2_H,0.1080610180571165,0.1016116901649904,0.1095059083478705
A5feTy,HN_3_H,0.176416346617719,0.0566224987426763,0.1006178594868994
A5feTy,HN_4,0.1577772606222101,0.1156344154115615,0.1409526060545506
A5feTy,HP_1_H,0.1715650759556932,0.0775099487613461,0.1089696998538887
A5feTy,HP_1_L,0.1099949393865166,0.0991692338425365,0.0932278201450087
A5feTy,LN_1,0.0531624551906339,0.0090999711461024,0.0814987128573896
A5feTy,LN_2,0.0783816314278297,0.0702486050372856,0.1236445286934915
A5feTy,LN_4,0.0692898989081053,0.0335040843403713,0.074903519529418
A5feTy,LN_5,0.0287360532059746,0.0093642543402973,0.0645027803392708
A5feTy,LN_7_N,0.0887826363778376,0.0655134659323314,0.1147858264294341
A5feTy,LP_1,0.0780088793569125,0.0082551785694177,0.080090394166572
A5feTy,LP_2,0.1186857800255033,0.1140164684853453,0.0963023392760105
A5feTy,LP_3,0.3167711830684855,0.1560004001345585,0.1050225207761654
A5feTy,LP_6,0.1001158449325461,0.0540128061534086,0.0889142131001535
A5feTy,LP_7,0.0872838058209421,0.0591452494648415,0.0906989248765876
Bs73,HN_2_L,0.0731742736084045,0.0121750042815821,0.0362694076485058
Bs73,HN_3_H,0.0643249910567036,0.0086557409569788,0.0730321513822429
Bs73,HN_5,0.2992752253850774,0.0638398941060276,0.0986226013595919
Bs73,HN_6,0.1692357539625166,0.1491937281518956,0.1492037999669875
Bs73,HP_3_L,0.0685972711697538,0.0609893815702878,0.0892332678140572
Bs73,HP_3_H,0.092509727828344,0.0671077130526121,0.0601089977821289
Bs73,HP_4,0.0805484371806305,0.0589816449978983,0.0636902490913601
Bs73,HP_5,0.0712131872737363,0.0360293170987409,0.0779326713686724
Bs73,LN_1,0.0468507456504856,0.0400866958994381,0.0332262432530559
Bs73,LN_2,0.0267526876284659,0.021989036061238,0.0502873834483626
Bs73,LN_4,0.0713227039662467,0.0139959000196958,0.0431931110667499
Bs73,LN_6,0.2584380764516794,0.0422991861684263,0.0450719999522638
Bs73,LN_7_P,0.0967853634942634,0.0242566628035437,0.0385720132643796
Bs73,LN_7_N,0.1360025363769348,0.0282980066013649,0.0999168919018693
CVgs2,HN_1,0.2496304910179898,0.0678098609692825,0.1253828417436702
CVgs2,HN_3_H,0.2020930620368566,0.165197995177241,0.1364627017616388
CVgs2,HN_4,0.1605847076727967,0.0970985929780239,0.0593032697838028
CVgs2,HN_6,0.4359793736196458,0.0945458379344214,0.1557509130248482
CVgs2,HN_7,0.1422398819812534,0.1046776604330046,0.103725967971102
CVgs2,HP_2,0.079255950191857,0.0259143135162578,0.0842493572437929
CVgs2,HP_3_H,0.0869369515015431,0.0720598056419029,0.0686715004767308
CVgs2,HP_4,0.1646072538782532,0.0636208220914387,0.060942700313959
CVgs2,HP_7_L,0.0731836478495113,0.0558427341661805,0.0655449875001813
CVgs2,LN_1,0.0113621878054552,0.00257616386995,0.0193196575506216
CVgs2,LN_2,0.0669918059115729,0.0581732888300626,0.0257422149628619
CVgs2,LN_3,0.2279725952284917,0.0408073043224839,0.1327458532807
CVgs2,LP_1,0.0970081772353064,0.073010284601551,0.0848665133550121
CVgs2,LP_3,0.1537922807273776,0.0624930667843243,0.0978908111578795
CVgs2,LP_4,0.2640720696178502,0.054633518888365,0.0693530271155286
CVgs2,LP_5,0.1168910689836891,0.0507251015623384,0.0925215065319959
CoQmx,HN_2_L,0.0133432669071269,0.003706702317756,0.0240851584787211
CoQmx,HN_2_H,0.0501529859883103,0.0369846876215582,0.048614720015967
CoQmx,HN_3_L,0.0185629181524299,0.0077310105744795,0.0215043345036609
CoQmx,HN_3_H,0.1257739148806286,0.0632829860813097,0.0909452576002981
CoQmx,HN_4,0.3187984627463278,0.0416751262211117,0.0780680867163722
CoQmx,HN_5,0.33358007844725,0.0167708381246233,0.0525502338361816
CoQmx,HN_7,0.1045293415661736,0.0812772399686006,0.0844539869815364
CoQmx,HP_1_H,0.0662539478474528,0.0137755083117076,0.0584032308594886
CoQmx,HP_1_L,0.071887814688269,0.025935961895918,0.061906846085211
CoQmx,HP_3_L,0.0542865530871366,0.0254366927540835,0.0686474546965325
CoQmx,HP_3_H,0.0742543956537511,0.048154545425304,0.0643997831795105
CoQmx,HP_4,0.1144754621295744,0.0896218152266184,0.0844155004778603
CoQmx,HP_5,0.0385276305546564,0.0150825247441496,0.0642077728668876
CoQmx,HP_6,0.1508448225729405,0.0292288645637069,0.0736535640107433
CoQmx,HP_7_L,0.0768757118817303,0.0674086915410646,0.0711977150728378
CoQmx,HP_7_H,0.0747132631677177,0.0316671959872318,0.0656282584718774
CoQmx,LN_1,0.1291053730597022,0.0294314399457258,0.0418708529809889
CoQmx,LN_4,0.1516980727642843,0.0144155303628152,0.0860538239434207
CoQmx,LN_5,0.0810858196566725,0.0053670834330394,0.0375824791203705
CoQmx,LN_6,0.1895253909805077,0.021933883512245,0.0423333816789833
CoQmx,LN_7_P,0.0249571211541205,0.0234797137658834,0.0556043274948117
