Participant,Video,Modality,RMSE,NRMSE
5KB3V,HN_1,Fusion,0.2705991721768364,0.17815716207600235
5KB3V,HN_2_L,Fusion,0.12354211443459721,0.08133769341375922
5KB3V,HN_2_H,Fusion,0.1375020428038217,0.09052863513408355
5KB3V,HN_3_L,Fusion,0.13242536066290034,0.08718624766219056
5KB3V,HN_3_H,Fusion,0.1692446688225566,0.11142735453091167
5KB3V,HN_4,Fusion,0.0918350448058458,0.060462383643361844
5KB3V,HN_5,Fusion,0.18704364419202626,0.12314584913744034
5KB3V,HN_6,Fusion,0.5536518356470083,0.3645134573899621
5KB3V,HN_7,Fusion,0.48774871208750337,0.321124139636866
5KB3V,HP_1_H,Fusion,0.06237872386252751,0.04106892245039105
5KB3V,HP_1_L,Fusion,0.06795053709847501,0.044737294477357976
5KB3V,HP_2,Fusion,0.21269894887987817,0.14003679613707093
5KB3V,HP_3_L,Fusion,0.06508581438266225,0.04285121749834072
5KB3V,HP_3_H,Fusion,0.09985380354071696,0.0657417763631711
5KB3V,HP_4,Fusion,0.07641904492750701,0.05031279313724596
5KB3V,HP_5,Fusion,0.03573052446161474,0.023524273139344697
5KB3V,HP_6,Fusion,0.05804952111018878,0.03821866067684705
5KB3V,HP_7_L,Fusion,0.10668076110205227,0.07023651067797518
5KB3V,HP_7_H,Fusion,0.09701480554310961,0.06387263603164545
5KB3V,LN_1,Fusion,0.022755043172127856,0.014981471975139465
5KB3V,LN_2,Fusion,0.08880250760133448,0.058465820912221765
5KB3V,LN_3,Fusion,0.2572973074257229,0.16939947647292697
5KB3V,LN_4,Fusion,0.03705805623492515,0.024398293896304542
5KB3V,LN_5,Fusion,0.06225034380524121,0.04098439955074842
5KB3V,LN_6,Fusion,0.047230790258833553,0.03109582149653366
5KB3V,LN_7_P,Fusion,0.049102925211775124,0.032328398254090764
5KB3V,LN_7_N,Fusion,0.059611627280772746,0.03924712059405176
5KB3V,LP_1,Fusion,0.1410969218000998,0.09289543261846388
5KB3V,LP_2,Fusion,0.11804639649099896,0.07771942102761244
5KB3V,LP_3,Fusion,0.17049559257107902,0.11225093807411848
5KB3V,LP_4,Fusion,0.12911195804333006,0.08500476867698484
5KB3V,LP_5,Fusion,0.1629616099371567,0.1072907123853557
5KB3V,LP_6,Fusion,0.013824243755350787,0.0091016096445805
5KB3V,LP_7,Fusion,0.07385307266726772,0.04862340757049621
6GSd4,HN_1,Fusion,0.19517482047650855,0.1284992553564231
6GSd4,HN_2_L,Fusion,0.09757227135866496,0.06423966053824232
6GSd4,HN_2_H,Fusion,0.18008479919411655,0.1185642827335927
6GSd4,HN_3_L,Fusion,0.02522470652418826,0.01660744965477056
6GSd4,HN_3_H,Fusion,0.2066085009923634,0.13602696527660424
