Participant,learning_rate,max_depth,n_estimators,num_leaves
4FoNM,0.05,11,100,15
5KB3V,0.05,11,100,15
6GSd4,0.05,11,100,15
7yqP3,0.05,7,100,15
8vDRG,0.1,9,50,15
A5feTy,0.1,7,50,15
Bs73,0.1,5,50,15
CoQmx,0.05,7,100,15
Cr1sTi,0.05,11,100,15
CVgs2,0.05,9,100,15
D9Hh9,0.05,9,100,15
Dwf5T,0.05,9,100,15
ERqc8,0.05,7,100,15
EXAMPLE,0.05,7,100,15
F5tXL,0.05,9,100,15
F8mDn,0.05,7,100,15
Fjil72,0.1,9,50,15
G4dLl,0.05,11,100,15
G4Egk,0.1,7,50,15
G5XzoP,0.1,9,50,15
Gax8,0.05,11,100,15
gf5X,0.05,9,100,15
GFGzP,0.05,11,100,15
Gftw5,0.05,9,100,15
GHft8,0.1,9,50,15
gjGzb,0.05,11,100,15
Gr33d,0.05,9,100,15
h2yD5h,0.1,9,50,15
hMHEK1,0.05,7,100,15
Hx7dO,0.05,9,100,15
Kgh4P3,0.1,9,50,15
kH4Dd,0.05,7,100,15
KoG5ii,0.1,9,50,15
KWgkc,0.05,7,100,15
LR96S,0.05,11,100,15
M4t7k,0.05,7,100,15
NMy2s,0.05,7,100,15
O1pGR,0.05,11,100,15
Pi9803,0.05,7,100,15
PPjCX,0.1,11,50,15
SI3pa2,0.05,7,100,15
sop2d,0.1,7,50,15
tMGNS,0.05,9,100,15
urJvc,0.05,7,100,15
V9D5x,0.1,9,50,15
wohkw,0.05,7,100,15
WQzBV,0.05,9,100,15
WYuvqk,0.1,7,50,15
Xd3foP9,0.05,7,100,15
XhsN0o,0.05,7,100,15
XPI3pA,0.05,7,100,15
yb3T2,0.05,7,100,15
