sec,R_%,G_%,B_%,lux
0,0,0,0,0
1,0,0,10,0
2,0,0,20,1
3,0,0,30,1.5
4,0,0,40,2
5,0,0,50,3
6,0,0,60,4
7,0,0,65,5.5
8,0,0,70,7
9,0,0,75,8
,0,0,80,10
,0,0,85,12
,0,0,90,14
,0,0,95,18
10,0,0,100,18
11,0,10,0,0
12,0,10,10,0
13,0,10,20,0.5
14,0,10,30,1
15,0,10,40,1.5
16,0,10,50,3
17,0,10,60,4
18,0,10,70,7
19,0,10,80,10
20,0,10,90,15
21,0,10,100,19
22,0,20,0,1
23,0,20,10,1.25
24,0,20,20,1.5
25,0,20,30,1.75
26,0,20,40,2
27,0,20,50,3
28,0,20,60,5
29,0,20,70,7
30,0,20,80,11
31,0,20,90,15
32,0,20,100,19
33,0,30,0,1
34,0,30,10,1.5
35,0,30,20,2
36,0,30,30,2
37,0,30,40,3
38,0,30,50,4
39,0,30,60,6
40,0,30,70,8
41,0,30,80,11
42,0,30,90,16
43,0,30,100,20
44,0,40,0,3
45,0,40,10,3
46,0,40,20,3
47,0,40,30,3.5
48,0,40,40,4
49,0,40,50,5
50,0,40,60,7
51,0,40,70,10
52,0,40,80,13
53,0,40,90,18
54,0,40,100,21
55,0,50,0,5
56,0,50,10,5
57,0,50,20,5
58,0,50,30,6
59,0,50,40,6.5
60,0,50,50,8
61,0,50,60,9
62,0,50,70,12
63,0,50,80,15
64,0,50,90,19
65,0,50,100,22
66,0,60,0,8
67,0,60,10,8.33
68,0,60,20,8.66
69,0,60,30,9
70,0,60,40,10
71,0,60,50,11
72,0,60,60,13
73,0,60,65,14
74,0,60,70,15
75,0,60,75,17
,0,60,80,18
,0,60,85,21
,0,60,90,23
,0,60,95,26
76,0,60,100,26
,0,65,0,10
,0,65,60,15
,0,65,65,16
,0,65,70,17
,0,65,75,19
,0,65,80,21
,0,65,85,23
,0,65,90,25
,0,65,95,28
,0,65,100,28
77,0,70,0,13
78,0,70,10,13
79,0,70,20,14
80,0,70,30,14
81,0,70,40,15
82,0,70,50,16
83,0,70,60,17
84,0,70,65,18
85,0,70,70,20
86,0,70,75,21
,0,70,80,23
,0,70,85,25
,0,70,90,28
,0,70,95,31
87,0,70,100,31
,0,75,0,15
,0,75,60,20
,0,75,65,21
,0,75,70,22
,0,75,75,24
,0,75,80,26
,0,75,85,28
,0,75,90,30
,0,75,95,33
,0,75,100,33
88,0,80,0,18
89,0,80,10,18
90,0,80,20,18
91,0,80,30,19
92,0,80,40,19
93,0,80,50,21
94,0,80,60,23
95,0,80,65,24
96,0,80,70,25
97,0,80,75,27
,0,80,80,28
,0,80,85,31
,0,80,90,33
,0,80,95,36
98,0,80,100,36
,0,85,0,21
,0,85,60,27
,0,85,65,27
,0,85,70,29
,0,85,75,30
,0,85,80,32
,0,85,85,35
,0,85,90,37
,0,85,95,40
,0,85,100,40
99,0,90,0,26
100,0,90,10,26
101,0,90,20,26
102,0,90,30,27
103,0,90,40,27
104,0,90,50,29
105,0,90,60,31
106,0,90,65,32
107,0,90,70,33
108,0,90,75,35
,0,90,80,37
,0,90,85,39
,0,90,90,41
,0,90,95,44
109,0,90,100,44
,0,95,0,28
,0,95,60,33
,0,95,65,34
,0,95,70,36
,0,95,75,37
,0,95,80,39
,0,95,85,41
,0,95,90,43.5
,0,95,95,46
,0,95,100,46
110,0,100,0,28
111,0,100,10,28.5
112,0,100,20,29
113,0,100,30,29
114,0,100,40,30
115,0,100,50,31
116,0,100,60,33
117,0,100,65,34
118,0,100,70,35
119,0,100,75,37
,0,100,80,39
,0,100,85,41
,0,100,90,44
,0,100,95,46
120,0,100,100,46
121,10,0,0,1
122,10,0,10,1
123,10,0,20,1
124,10,0,30,1
125,10,0,40,2
126,10,0,50,3
127,10,0,60,5
128,10,0,70,7
129,10,0,80,11
130,10,0,90,15
131,10,0,100,18
132,10,10,0,1
133,10,10,10,1
134,10,10,20,1
135,10,10,30,2
136,10,10,40,2
137,10,10,50,3
138,10,10,60,5
139,10,10,70,7
140,10,10,80,11.5
141,10,10,90,15
142,10,10,100,18
143,10,20,0,1
144,10,20,10,1.25
145,10,20,20,1.5
146,10,20,30,2
147,10,20,40,2
148,10,20,50,3
149,10,20,60,5
150,10,20,70,7
151,10,20,80,11
152,10,20,90,15
153,10,20,100,18
154,10,30,0,2
155,10,30,10,2
156,10,30,20,2.33
157,10,30,30,2.66
158,10,30,40,3
159,10,30,50,4
160,10,30,60,6
161,10,30,70,9
162,10,30,80,12
163,10,30,90,16
